title,description,genre,year,image_url
Nomadland,"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=1
Parasite,Una familia pobre en Corea se infiltra en la vida de una familia rica.,Thriller/Drama,2019,https://picsum.photos/300/200?random=2
Oppenheimer,Biografía del físico J. Robert Oppenheimer y la creación de la bomba atómica.,Biografía/Historia,2023,https://picsum.photos/300/200?random=3
The Shape of Water,Romance entre una mujer muda y una criatura anfibia en plena Guerra Fría.,Fantasía/Romance,2017,https://picsum.photos/300/200?random=4
La La Land,Historia de amor entre un músico de jazz y una aspirante a actriz en Los Ángeles.,Musical/Romance,2016,https://picsum.photos/300/200?random=5
All About Eve,Actriz ambiciosa se infiltra en el mundo teatral para arrebatar protagonismo.,Drama,1950,https://picsum.photos/300/200?random=6
Forrest Gump,Historia de un hombre con discapacidad intelectual que influye distintos momentos históricos de EE.UU.,Drama/Comedia,1994,https://picsum.photos/300/200?random=7
Titanic,Romance trágico durante el hundimiento del famoso barco.,Drama/Romance,1997,https://picsum.photos/300/200?random=8
Moonlight,"Trayectoria de un joven afroamericano gay, desde la infancia hasta la adultez.",Biografía/Drama,2016,https://picsum.photos/300/200?random=9
12 Years a Slave,Un hombre libre es secuestrado y vendido como esclavo.,Histórica/Drama,2013,https://picsum.photos/300/200?random=10
Everything Everywhere All at Once,Una madre asiática se conecta con versiones alternas de sí misma para salvar el multiverso.,Comedia/Acción,2022,https://picsum.photos/300/200?random=11
CODA,Una joven es la única oyente en una familia de sordos y enfrenta dilemas entre música y responsabilidad familiar.,Drama/Comedia,2021,https://picsum.photos/300/200?random=12
Birdman,Actor en declive busca relevancia montando una obra en Broadway.,Comedia/Drama,2014,https://picsum.photos/300/200?random=13
Spotlight,Equipo periodístico investiga abusos dentro de la Iglesia Católica en Boston.,Drama/Histórica,2015,https://picsum.photos/300/200?random=14
Argo,Operación de rescate de rehenes iraníes simulada como film de Hollywood.,Thriller/Histórica,2012,https://picsum.photos/300/200?random=15
The Artist,Película muda en blanco y negro sobre el fin del cine mudo y el surgimiento del sonoro.,Comedia/Drama,2011,https://picsum.photos/300/200?random=16
The King's Speech,Rey Jorge VI supera su tartamudez con la ayuda de un terapeuta poco convencional.,Biografía/Histórica,2010,https://picsum.photos/300/200?random=17
The Hurt Locker,Equipo de desactivación de bombas en Irak enfrenta tensión y adicción a la adrenalina.,Thriller/War,2009,https://picsum.photos/300/200?random=18
Slumdog Millionaire,Joven indio participa en concurso televisivo buscando reencontrarse con su amor de infancia.,Drama/Romance,2008,https://picsum.photos/300/200?random=19
No Country for Old Men,Hombre encuentra dinero de narcos y es perseguido por asesino implacable.,Thriller/Crimen,2007,https://picsum.photos/300/200?random=20
The Departed,Policía encubierto y topo en la mafia se enfrentan en Boston.,Thriller/Crimen,2006,https://picsum.photos/300/200?random=21
Crash,Varias historias en Los Ángeles exploran prejuicio y redención en un día.,Drama,2005,https://picsum.photos/300/200?random=22
Million Dollar Baby,Entrenadora ayuda a mujer a convertirse en boxeadora profesional.,Drama/Deportes,2004,https://picsum.photos/300/200?random=23
The Lord of the Rings: The Return of the King,"Conclusión épica de la saga, con batallas decisivas en la Tierra Media.",Fantasía/Aventura,2003,https://picsum.photos/300/200?random=24
Chicago,Musical en línea con una historia de crimen y fama en los años 1920.,Musical/Crimen,2002,https://picsum.photos/300/200?random=25
A Beautiful Mind,Biografía de un genio matemático que lucha con la esquizofrenia.,Biografía/Drama,2001,https://picsum.photos/300/200?random=26
Gladiator,General romano convertido en gladiador busca venganza contra el emperador corrupto.,Acción/Épica,2000,https://picsum.photos/300/200?random=27
American Beauty,Padre en crisis personal desarrolla obsesiones mientras su familia se desmorona.,Drama/Sátira,1999,https://picsum.photos/300/200?random=28
Shakespeare in Love,Joven Shakespeare encuentra inspiración en un romance ficticio mientras escribe Romeo y Julieta.,Drama/Romance,1998,https://picsum.photos/300/200?random=29
The English Patient,Relato fragmentado de amor prohibido durante la Segunda Guerra Mundial.,Drama/Romance,1996,https://picsum.photos/300/200?random=30
Braveheart,Guerrero escocés lidera levantamiento contra los ingleses.,Épica/Histórica,1995,https://picsum.photos/300/200?random=31
Schindler's List,Empresario salva a judíos durante el Holocausto.,Histórica/Drama,1993,https://picsum.photos/300/200?random=32
Unforgiven,Ex pistolero acosado por su pasado es contratado para matar unos hombres.,Western/Drama,1992,https://picsum.photos/300/200?random=33
The Silence of the Lambs,Agente del FBI busca asesino en serie consultando a un brillante caníbal.,Thriller/Horror,1991,https://picsum.photos/300/200?random=34
Dances with Wolves,Oficial de la Unión se integra a tribu sioux tras descubrir su cultura.,Histórica/Drama,1990,https://picsum.photos/300/200?random=35
Driving Miss Daisy,Anciana y su chofer afroamericano desarrollan fuerte vínculo en EE.UU. segregado.,Drama,1989,https://picsum.photos/300/200?random=36
Rain Man,Hermano que se entera que su hermano es autista savant lo lleva en viaje transformador.,Drama,1988,https://picsum.photos/300/200?random=37
The Last Emperor,Biografía del último emperador de China desde niño hasta exilio.,Biografía/Histórica,1987,https://picsum.photos/300/200?random=38
Platoon,Soldado escribe su historia en plena guerra de Vietnam.,Guerra/Drama,1986,https://picsum.photos/300/200?random=39
Out of Africa,Relato romántico en la Kenia colonial entre escritora y dueño de plantación.,Drama/Romance,1985,https://picsum.photos/300/200?random=40
Amadeus,Rivalidad entre Mozart y Salieri en la Viena del siglo XVIII.,Biografía/Música,1984,https://picsum.photos/300/200?random=41
Terms of Endearment,"Relación entre madre e hija afrontan amor, crisis y enfermedad.",Drama,1983,https://picsum.photos/300/200?random=42
Gandhi,Biografía de líder pacifista Mahatma Gandhi y su rol en la independencia india.,Biografía/Histórica,1982,https://picsum.photos/300/200?random=43
Chariots of Fire,Atletas británicos compiten en los Juegos Olímpicos con fe y honor.,Drama/Deportes,1981,https://picsum.photos/300/200?random=44
Ordinary People,Adolescente culpa a sí mismo por muerte de hermano mientras su familia se rompe.,Drama,1980,https://picsum.photos/300/200?random=45
Nomadland (Alt 45),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=46
Nomadland (Alt 46),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=47
Nomadland (Alt 47),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=48
Nomadland (Alt 48),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=49
Nomadland (Alt 49),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=50
Nomadland (Alt 50),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=51
Nomadland (Alt 51),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=52
Nomadland (Alt 52),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=53
Nomadland (Alt 53),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=54
Nomadland (Alt 54),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=55
Nomadland (Alt 55),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=56
Nomadland (Alt 56),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=57
Nomadland (Alt 57),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=58
Nomadland (Alt 58),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=59
Nomadland (Alt 59),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=60
Nomadland (Alt 60),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=61
Nomadland (Alt 61),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=62
Nomadland (Alt 62),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=63
Nomadland (Alt 63),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=64
Nomadland (Alt 64),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=65
Nomadland (Alt 65),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=66
Nomadland (Alt 66),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=67
Nomadland (Alt 67),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=68
Nomadland (Alt 68),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=69
Nomadland (Alt 69),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=70
Nomadland (Alt 70),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=71
Nomadland (Alt 71),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=72
Nomadland (Alt 72),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=73
Nomadland (Alt 73),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=74
Nomadland (Alt 74),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=75
Nomadland (Alt 75),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=76
Nomadland (Alt 76),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=77
Nomadland (Alt 77),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=78
Nomadland (Alt 78),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=79
Nomadland (Alt 79),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=80
Nomadland (Alt 80),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=81
Nomadland (Alt 81),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=82
Nomadland (Alt 82),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=83
Nomadland (Alt 83),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=84
Nomadland (Alt 84),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=85
Nomadland (Alt 85),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=86
Nomadland (Alt 86),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=87
Nomadland (Alt 87),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=88
Nomadland (Alt 88),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=89
Nomadland (Alt 89),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=90
Nomadland (Alt 90),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=91
Nomadland (Alt 91),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=92
Nomadland (Alt 92),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=93
Nomadland (Alt 93),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=94
Nomadland (Alt 94),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=95
Nomadland (Alt 95),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=96
Nomadland (Alt 96),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=97
Nomadland (Alt 97),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=98
Nomadland (Alt 98),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=99
Nomadland (Alt 99),"Una viuda viaja por el oeste de EE.UU. en furgoneta, explorando comunidades nómadas modernas.",Drama/Road,2020,https://picsum.photos/300/200?random=100
